Variable_Name,Data_Type,Access_Level,Local_Data_Address,Description
MOTOR_2_VALVE_EXECUTION,USINT,RW,DB_HGU_Execution.MOTOR_2_VALVE_EXECUTION,Motor 2 Valve (0=Closed 1=Open)
MOTOR_2_LINE_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_2_LINE_FILTER_EXECUTION,Motor 2 Line Filter (0=Error 1=Warn 2=OK)
MOTOR_2_SUCTION_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_2_SUCTION_FILTER_EXECUTION,Motor 2 Suction Filter (0=Error 1=OK)
MOTOR_3_RPM_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_3_RPM_EXECUTION,Motor 3 Current RPM
MOTOR_3_CURRENT_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_3_CURRENT_EXECUTION,Motor 3 Current (A)
MOTOR_3_TARGET_EXECUTION,REAL,RW,DB_HGU_Execution.MOTOR_3_TARGET_EXECUTION,Motor 3 Target RPM
MOTOR_3_FLOW_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_3_FLOW_EXECUTION,Motor 3 Flow Rate (L/min)
MOTOR_3_PRESSURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_3_PRESSURE_EXECUTION,Motor 3 Pressure (bar)
MOTOR_3_LEAK_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_3_LEAK_EXECUTION,Motor 3 Leak Rate (L/min)
MOTOR_3_TEMPERATURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_3_TEMPERATURE_EXECUTION,Motor 3 Temperature (°C)
MOTOR_3_ENABLE_EXECUTION,BOOL,RW,DB_HGU_Execution.MOTOR_3_ENABLE_EXECUTION,Motor 3 Enable/Disable
MOTOR_3_STATUS_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_3_STATUS_EXECUTION,Motor 3 Status (0=Off 1=Ready 2=Run 3=Error)
MOTOR_3_VALVE_EXECUTION,USINT,RW,DB_HGU_Execution.MOTOR_3_VALVE_EXECUTION,Motor 3 Valve (0=Closed 1=Open)
MOTOR_3_LINE_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_3_LINE_FILTER_EXECUTION,Motor 3 Line Filter (0=Error 1=Warn 2=OK)
MOTOR_3_SUCTION_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_3_SUCTION_FILTER_EXECUTION,Motor 3 Suction Filter (0=Error 1=OK)
MOTOR_4_RPM_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_4_RPM_EXECUTION,Motor 4 Current RPM
MOTOR_4_CURRENT_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_4_CURRENT_EXECUTION,Motor 4 Current (A)
MOTOR_4_TARGET_EXECUTION,REAL,RW,DB_HGU_Execution.MOTOR_4_TARGET_EXECUTION,Motor 4 Target RPM
MOTOR_4_FLOW_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_4_FLOW_EXECUTION,Motor 4 Flow Rate (L/min)
MOTOR_4_PRESSURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_4_PRESSURE_EXECUTION,Motor 4 Pressure (bar)
MOTOR_4_LEAK_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_4_LEAK_EXECUTION,Motor 4 Leak Rate (L/min)
MOTOR_4_TEMPERATURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_4_TEMPERATURE_EXECUTION,Motor 4 Temperature (°C)
MOTOR_4_ENABLE_EXECUTION,BOOL,RW,DB_HGU_Execution.MOTOR_4_ENABLE_EXECUTION,Motor 4 Enable/Disable
MOTOR_4_STATUS_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_4_STATUS_EXECUTION,Motor 4 Status (0=Off 1=Ready 2=Run 3=Error)
MOTOR_4_VALVE_EXECUTION,USINT,RW,DB_HGU_Execution.MOTOR_4_VALVE_EXECUTION,Motor 4 Valve (0=Closed 1=Open)
MOTOR_4_LINE_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_4_LINE_FILTER_EXECUTION,Motor 4 Line Filter (0=Error 1=Warn 2=OK)
MOTOR_4_SUCTION_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_4_SUCTION_FILTER_EXECUTION,Motor 4 Suction Filter (0=Error 1=OK)
MOTOR_5_RPM_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_5_RPM_EXECUTION,Motor 5 Current RPM
MOTOR_5_CURRENT_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_5_CURRENT_EXECUTION,Motor 5 Current (A)
MOTOR_5_TARGET_EXECUTION,REAL,RW,DB_HGU_Execution.MOTOR_5_TARGET_EXECUTION,Motor 5 Target RPM
MOTOR_5_FLOW_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_5_FLOW_EXECUTION,Motor 5 Flow Rate (L/min)
MOTOR_5_PRESSURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_5_PRESSURE_EXECUTION,Motor 5 Pressure (bar)
MOTOR_5_LEAK_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_5_LEAK_EXECUTION,Motor 5 Leak Rate (L/min)
MOTOR_5_TEMPERATURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_5_TEMPERATURE_EXECUTION,Motor 5 Temperature (°C)
MOTOR_5_ENABLE_EXECUTION,BOOL,RW,DB_HGU_Execution.MOTOR_5_ENABLE_EXECUTION,Motor 5 Enable/Disable
MOTOR_5_STATUS_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_5_STATUS_EXECUTION,Motor 5 Status (0=Off 1=Ready 2=Run 3=Error)
MOTOR_5_VALVE_EXECUTION,USINT,RW,DB_HGU_Execution.MOTOR_5_VALVE_EXECUTION,Motor 5 Valve (0=Closed 1=Open)
MOTOR_5_LINE_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_5_LINE_FILTER_EXECUTION,Motor 5 Line Filter (0=Error 1=Warn 2=OK)
MOTOR_5_SUCTION_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_5_SUCTION_FILTER_EXECUTION,Motor 5 Suction Filter (0=Error 1=OK)
MOTOR_6_RPM_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_6_RPM_EXECUTION,Motor 6 Current RPM
MOTOR_6_CURRENT_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_6_CURRENT_EXECUTION,Motor 6 Current (A)
MOTOR_6_TARGET_EXECUTION,REAL,RW,DB_HGU_Execution.MOTOR_6_TARGET_EXECUTION,Motor 6 Target RPM
MOTOR_6_FLOW_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_6_FLOW_EXECUTION,Motor 6 Flow Rate (L/min)
MOTOR_6_PRESSURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_6_PRESSURE_EXECUTION,Motor 6 Pressure (bar)
MOTOR_6_LEAK_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_6_LEAK_EXECUTION,Motor 6 Leak Rate (L/min)
MOTOR_6_TEMPERATURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_6_TEMPERATURE_EXECUTION,Motor 6 Temperature (°C)
MOTOR_6_ENABLE_EXECUTION,BOOL,RW,DB_HGU_Execution.MOTOR_6_ENABLE_EXECUTION,Motor 6 Enable/Disable
MOTOR_6_STATUS_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_6_STATUS_EXECUTION,Motor 6 Status (0=Off 1=Ready 2=Run 3=Error)
MOTOR_6_VALVE_EXECUTION,USINT,RW,DB_HGU_Execution.MOTOR_6_VALVE_EXECUTION,Motor 6 Valve (0=Closed 1=Open)
MOTOR_6_LINE_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_6_LINE_FILTER_EXECUTION,Motor 6 Line Filter (0=Error 1=Warn 2=OK)
MOTOR_6_SUCTION_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_6_SUCTION_FILTER_EXECUTION,Motor 6 Suction Filter (0=Error 1=OK)
MOTOR_7_RPM_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_7_RPM_EXECUTION,Motor 7 Current RPM (Fixed 1500)
MOTOR_7_CURRENT_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_7_CURRENT_EXECUTION,Motor 7 Current (A)
MOTOR_7_TARGET_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_7_TARGET_EXECUTION,Motor 7 Target RPM (Fixed 1500)
MOTOR_7_FLOW_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_7_FLOW_EXECUTION,Motor 7 Flow Rate (Fixed 34 L/min)
MOTOR_7_PRESSURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_7_PRESSURE_EXECUTION,Motor 7 Pressure (bar)
MOTOR_7_LEAK_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_7_LEAK_EXECUTION,Motor 7 Leak Rate (L/min)
MOTOR_7_TEMPERATURE_EXECUTION,REAL,RD,DB_HGU_Execution.MOTOR_7_TEMPERATURE_EXECUTION,Motor 7 Temperature (°C)
MOTOR_7_ENABLE_EXECUTION,BOOL,RW,DB_HGU_Execution.MOTOR_7_ENABLE_EXECUTION,Motor 7 Enable/Disable
MOTOR_7_STATUS_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_7_STATUS_EXECUTION,Motor 7 Status (0=Off 1=Ready 2=Run 3=Error)
MOTOR_7_VALVE_EXECUTION,USINT,RW,DB_HGU_Execution.MOTOR_7_VALVE_EXECUTION,Motor 7 Valve (0=Closed 1=Open)
MOTOR_7_LINE_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_7_LINE_FILTER_EXECUTION,Motor 7 Line Filter (0=Error 1=Warn 2=OK)
MOTOR_7_SUCTION_FILTER_EXECUTION,USINT,RD,DB_HGU_Execution.MOTOR_7_SUCTION_FILTER_EXECUTION,Motor 7 Suction Filter (0=Error 1=OK)
MOTOR_7_PRESSURE_SETPOINT,REAL,RW,DB_HGU_Execution.MOTOR_7_PRESSURE_SETPOINT,Motor 7 Pressure Setpoint (Adjustable)
SYSTEM_STATUS_EXECUTION,USINT,RD,DB_HGU_Execution.SYSTEM_STATUS_EXECUTION,System Status (0=Off 1=Ready 2=Run 3=Error 4=Maint)
SYSTEM_TOTAL_FLOW_EXECUTION,REAL,RD,DB_HGU_Execution.SYSTEM_TOTAL_FLOW_EXECUTION,System Total Flow (L/min)
SYSTEM_PRESSURE_EXECUTION,REAL,RD,DB_HGU_Execution.SYSTEM_PRESSURE_EXECUTION,Main System Pressure (bar)
SYSTEM_TANK_LEVEL_EXECUTION,REAL,RD,DB_HGU_Execution.SYSTEM_TANK_LEVEL_EXECUTION,Tank Oil Level (%)
SYSTEM_TANK_TEMPERATURE_EXECUTION,REAL,RD,DB_HGU_Execution.SYSTEM_TANK_TEMPERATURE_EXECUTION,Tank Oil Temperature (°C)
SYSTEM_CONTROL_MODE_EXECUTION,USINT,RW,DB_HGU_Execution.SYSTEM_CONTROL_MODE_EXECUTION,Control Mode (0=Local 1=Remote)
SYSTEM_EMERGENCY_STOP_EXECUTION,BOOL,RW,DB_HGU_Execution.SYSTEM_EMERGENCY_STOP_EXECUTION,Emergency Stop Status
SYSTEM_PUMP_ENABLE_EXECUTION,BOOL,RW,DB_HGU_Execution.SYSTEM_PUMP_ENABLE_EXECUTION,System Pump Enable
TOTAL_ACTIVE_MOTORS,USINT,RD,DB_HGU_Execution.TOTAL_ACTIVE_MOTORS,Count of Running Motors
TOTAL_POWER_CONSUMPTION,REAL,RD,DB_HGU_Execution.TOTAL_POWER_CONSUMPTION,Total Power Consumption (kW)
AVERAGE_SYSTEM_TEMPERATURE,REAL,RD,DB_HGU_Execution.AVERAGE_SYSTEM_TEMPERATURE,Average Temperature (°C)
SYSTEM_EFFICIENCY,REAL,RD,DB_HGU_Execution.SYSTEM_EFFICIENCY,System Efficiency (%)
COOLING_SYSTEM_STATUS_EXECUTION,USINT,RD,DB_HGU_Execution.COOLING_SYSTEM_STATUS_EXECUTION,Cooling System Status (0=Off 1=Normal 2=Warn 3=Critical)
COOLING_AQUA_SENSOR_EXECUTION,REAL,RD,DB_HGU_Execution.COOLING_AQUA_SENSOR_EXECUTION,Water Sensor Level (%)
COOLING_OIL_LEVEL_LITERS_EXECUTION,REAL,RD,DB_HGU_Execution.COOLING_OIL_LEVEL_LITERS_EXECUTION,Oil Level in Tank (Liters)
COOLING_OIL_LEVEL_PERCENT_EXECUTION,REAL,RD,DB_HGU_Execution.COOLING_OIL_LEVEL_PERCENT_EXECUTION,Oil Level in Tank (%)
COOLING_OIL_TEMPERATURE_EXECUTION,REAL,RD,DB_HGU_Execution.COOLING_OIL_TEMPERATURE_EXECUTION,Oil Temperature (°C)
COOLING_WATER_TEMPERATURE_EXECUTION,REAL,RD,DB_HGU_Execution.COOLING_WATER_TEMPERATURE_EXECUTION,Water/Coolant Temperature (°C)
ALARM_HIGH_PRESSURE,BOOL,RD,DB_HGU_Execution.ALARM_HIGH_PRESSURE,High Pressure Alarm
ALARM_LOW_PRESSURE,BOOL,RD,DB_HGU_Execution.ALARM_LOW_PRESSURE,Low Pressure Alarm
ALARM_HIGH_TEMPERATURE,BOOL,RD,DB_HGU_Execution.ALARM_HIGH_TEMPERATURE,High Temperature Alarm
ALARM_LOW_TANK_LEVEL,BOOL,RD,DB_HGU_Execution.ALARM_LOW_TANK_LEVEL,Low Tank Level Alarm
ALARM_FILTER_BLOCKED,BOOL,RD,DB_HGU_Execution.ALARM_FILTER_BLOCKED,Filter Blocked Alarm
ALARM_MOTOR_OVERLOAD,BOOL,RD,DB_HGU_Execution.ALARM_MOTOR_OVERLOAD,Motor Overload Alarm
MOTOR_ALARM_OVERLOAD_MASK,BYTE,RD,DB_HGU_Execution.MOTOR_ALARM_OVERLOAD_MASK,Motor Overload Bitmask (bit0=M1 bit1=M2...)
MOTOR_ALARM_OVERHEAT_MASK,BYTE,RD,DB_HGU_Execution.MOTOR_ALARM_OVERHEAT_MASK,Motor Overheat Bitmask
MOTOR_ALARM_LEAK_MASK,BYTE,RD,DB_HGU_Execution.MOTOR_ALARM_LEAK_MASK,Motor Leak Bitmask
Pressure_Supply,REAL,RD,DB_HGU_Execution.Pressure_Supply,Main Supply Pressure (0-350 bar)
On_Off_Test,BOOL,RD,DB_HGU_Execution.On_Off_Test,Test Signal
Pump_Status,BOOL,RD,DB_HGU_Execution.Pump_Status,Pump Operation Status
System_Ready,BOOL,RD,DB_HGU_Execution.System_Ready,System Ready Status
Temperature_Oil_Tank,REAL,RD,DB_HGU_Execution.Temperature_Oil_Tank,Tank Oil Temperature (-10 to +80°C)
Temperature_Motor,REAL,RD,DB_HGU_Execution.Temperature_Motor,Motor Temperature (°C)
Pressure_Accumulator,REAL,RD,DB_HGU_Execution.Pressure_Accumulator,Accumulator Pressure (0-350 bar)
MAINTENANCE_TIMER,TIME,RD,DB_HGU_Execution.MAINTENANCE_TIMER,Maintenance Timer
LAST_MAINTENANCE_DATE,DATE,RD,DB_HGU_Execution.LAST_MAINTENANCE_DATE,Last Maintenance Date
NEXT_MAINTENANCE_DUE,DATE,RD,DB_HGU_Execution.NEXT_MAINTENANCE_DUE,Next Maintenance Due Date
AVERAGE_EFFICIENCY,REAL,RD,DB_HGU_Execution.AVERAGE_EFFICIENCY,Average Efficiency (%)
SYSTEM_LOAD_FACTOR,REAL,RD,DB_HGU_Execution.SYSTEM_LOAD_FACTOR,System Load Factor (%)
